ID,name,information,birthDate,birthPlace,college
1,Aaron Kromer,Aaron Kromer is the current offensive coordinator coach for the Chicago Bears of the NFL.He coached the 2000 Northwestern football camp. He is a 1985 graduate of Margaretta High School in Castalia Ohio where he played football and basketball.Kromer was hired by the New Orleans Saints in 2008 as the running backs coach before becoming the offensive line coach the following season.,NULL,NULL,NULL
2,Adam Gase,Adam Gase (born March 29 1978) is the current offensive coordinator for the Denver Broncos of the National Football League. He was promoted to the position on January 17 2013. He had previously been the team's quarterbacks coach.Gase has also coached for the LSU Tigers Detroit Lions and San Francisco 49ers.He is married to the daughter of New Orleans Saints linebackers coach Joe Vitt.,3/29/1978,Ypsilanti Michigan,Michigan State University
6,Al Saunders,Al Saunders (born February 1 1947) an American football coach currently employed by the Oakland Raiders.,2/1/1947,London,{University of Southern California|San Jose State University}
9,Andy Moeller,Andy Moeller is the offensive line coach for the Cleveland Browns of the National Football League. He is the son of Gary Moeller. Moeller was a player for the Michigan Wolverines football team and served with the team for eight years before joining the Baltimore Ravens. He replaced John Matsko in 2011 after Matsko was fired.,NULL,University of Michigan,NULL
10,Andy Reid,Andrew Walter Andy Reid (born March 19 1958) is a professional American football coach who is the head coach of the Kansas City Chiefs of the National Football League (NFL). Reid was previously the head coach of the Philadelphia Eagles a post he held from 1999 to 2012. From 2001 to 2012 he was also the Eagles' executive vice president of football operations effectively making him the team's general manager.,3/19/1958,NULL,Brigham Young University
12,Ben McAdoo,Ben McAdoo is currently the offensive coordinator for the New York Giants. He was hired on January 14 2014. Previously he spent eight seasons with the Green Bay Packers as tight ends coach for six years and quarterbacks coach for two years and previously worked under Green Bay head coach Mike McCarthy in 2004 with the New Orleans Saints and in 2005 with the San Francisco 49ers. He has also served as a coach at five colleges since 2001.,7/9/1977,NULL,Indiana University of Pennsylvania
14,Bill Belichick,William Stephen Bill Belichick (/?b?l?t??k/ born April 16 1952) is an American football head coach for the New England Patriots of the National Football League. He also has extensive authority over the Patriots' football operations effectively making him the team's general manager as well. Coaching continuously in various roles in the NFL since 1975 Belichick earned his first head coaching job with the Cleveland Browns in 1991.,4/16/1952,NULL,Wesleyan University
15,Bill Callahan ,William E. Callahan (born July 31 1956) is the offensive coordinator and offensive line coach for the Dallas Cowboys. He was formerly the head coach of the Oakland Raiders for the 2002-2003 seasons and for the University of Nebraska for the 2004-2007 seasons.,7/31/1956,Illinois,NULL
17,Bill Lazor,William V. Lazor (born June 14 1972) is an American football coach and former player. He is currently the offensive coordinator for the Miami Dolphins. Lazor has previously served as the quarterbacks coach for the Washington Redskins and Seattle Seahawks of the National Football League. He played collegiately as a quarterback at Cornell University from 1991 to 1993.,6/14/1972,NULL,NULL
19,Bill O'Brien ,William J. Bill O'Brien (born October 23 1969) is the current head coach and offensive coordinator of the Houston Texans of the National Football League. He previously was the head coach of the Penn State Nittany Lions from 2012 to 2013.O'Brien began his coaching career in 1993 at Brown University before spending more than a decade coaching in the ACC. He joined the New England Patriots in 2007 where he eventually served as quarterbacks coach and offensive coordinator in 2011.,10/23/1969,NULL,NULL
20,Bill Sheridan,Bill Sheridan (born January 27 1959) is an American football coach is currently the linebackers coach for the Detroit Lions of the National Football League (NFL). Sheridan was previously the defensive coordinator for the Tampa Bay Buccaneers. He was also a coach for a number of college teams including Notre Dame and Michigan State. From 2005 to 2008 he was the linebackers coach for the NFL's New York Giants. In 2009 he was the defensive coordinator for the New York Giants.,1/27/1959,Detroit,NULL
22,Billy Miller ,Billy RoShawn Miller (born April 24 1977 in Los Angeles California) is a retired American football tight end. He has won a Super Bowl with the New Orleans Saints of the National Football League. He was originally drafted by the Denver Broncos in the seventh round of the 1999 NFL Draft.,4/24/1977,Los Angeles California,USC Trojans football
25,Bob Quinn ,Bob Quinn (born c. 1976 in Norwood Massachusetts) is the current American football Director of Pro Scouting for the New England Patriots of the National Football League. After graduating from Norwood High School Quinn attended the University of Connecticut graduating in 1998. While earning his masters degree in sports management at Connecticut he was a graduate assistant for the school in 1998 and 1999.,NULL,Norwood Massachusetts,NULL
26,Bob Sanders ,Bob Sanders is an American football coach and currently the linebackers coach for the Oakland Raiders. He previously coached for Buffalo Bills from 2009-2012 after coaching for four years with the Green Bay Packers four years with the Miami Dolphins and after 11 years with the Florida Gators. He was let go by the Green Bay Packers following the 2008 season.Sanders was hired on January 29 2009 by the Buffalo Bills as defensive line coach.,12/5/1953,Jacksonville North Carolina,Davidson College
